split_by_player,split_by_games,rating_bin,player,opponent,player_color,game_id,player_elo,opponent_elo,avg_elo,date,time_control,termination,result,n_plies,plies_both_gt_thr
train,train,1800_1900,GuerraAperta,DutchMartin,black,W6vDflvh,1864,1881,1864.0,2025-03-01,180+0,Time forfeit,0-1,78,78
train,train,1800_1900,grumpy58,Tober_KBPL,white,5prmTwba,1808,2056,1808.0,2025-03-01,300+0,Normal,0-1,62,62
train,train,1900_2000,SUDAKA57,nrobin,black,Jw2rFRna,1928,1929,1928.0,2025-03-01,300+0,Normal,1-0,69,69
test,test,2000_2100,javiperalta,Alvar5374,white,7rk3Eakc,2011,2120,2011.0,2025-03-01,300+0,Normal,0-1,104,104
train,train,2000_2100,ugurgonen,nafania2022,black,iZm4n2Fn,2029,2102,2029.0,2025-03-01,300+0,Normal,1-0,99,99
test,train,lt_1100,Myckey707809,MarioBros_CAR,white,ODvcdGLk,766,1266,766.0,2025-03-01,240+2,Normal,1-0,127,127
test,test,1500_1600,violoncessist,Fmahlow,black,ez98AJsf,1536,1505,1539.0,2025-03-01,180+0,Normal,1-0,89,89
train,train,1600_1700,Kasparovakis,madnickit,white,2MYAzibU,1688,1696,1688.0,2025-03-01,300+3,Normal,1-0,65,65
train,train,1600_1700,owenowen1000,Abdelrhmannazer,white,dov9AVhQ,1604,1627,1604.0,2025-03-01,180+0,Time forfeit,0-1,110,110
train,train,2000_2100,gerardog312,Adro81,black,9xzb3mqy,2004,1906,2004.0,2025-03-01,180+0,Normal,1-0,67,67
